Date Time,Dispatchable Generation,Residual Demand,RSA Contracted Demand,International Exports,International Imports,Thermal Generation,Nuclear Generation,Pumped Water Generation,Manual Load_Reduction(MLR),Installed Eskom Capacity,Total PCLF,Total UCLF,Total OCLF,Total UCLF+OCLF
31/03/2022 00:00,21734.068,21734.068,22351.905,1411.343,918,21531,912,0,0,47043,6515,12160.565,712.398,12872
31/03/2022 01:00,21376.801,21376.801,21865.765,1323.722,919,21138,912,0,0,47043,6515,12140.936,684.431,12825
31/03/2022 02:00,21279.801,21279.801,21760.463,1329.28,792,21128,912,0,0,47043,6515,12041.813,632.248,12674
31/03/2022 03:00,21355.935,21355.935,21823.437,1309.967,28,21647,912,0,0,47043,6515,12036.895,624.181,12661
31/03/2022 04:00,22375.801,22375.801,22781.207,1348.762,39,21832,912,0,0,47043,6515,12121.767,658.581,12780
31/03/2022 05:00,23803.075,23803.075,24150.895,1437.033,36,22124.14,911,186,0,47043,6515,11848.602,648.198,12496
31/03/2022 06:00,25141.999,25141.999,25586.593,1404.819,86,22174,910,1317,0,47043,6515,11885.852,663.669,12549
31/03/2022 07:00,25915.403,25915.403,26756.16,1386.451,466,21584,910,1477,0,47043,6515,12186.001,650.228,12836
31/03/2022 08:00,26145.182,26145.182,27663.806,1353.571,215,21444,910,1334,0,47043,6515,12082.434,632.211,12714
31/03/2022 09:00,25837.817,25837.817,27862.849,1394.136,401,21654,910,501,0,47043,6515,12290.751,639.211,12929
31/03/2022 10:00,25373.757,25373.757,27811.896,1392.383,383,21787,910,305,0,47043,6515,12178.687,647.211,12825
31/03/2022 11:00,25203.124,25203.124,27831.132,1428.58,743,21795,909,223,0,47043,6515,12004.305,723.428,12727
31/03/2022 12:00,24903.102,24903.102,27637.541,1375.676,1145,21723,909,290,0,47043,6564.083,11905.33,848.211,12753
31/03/2022 13:00,24673.152,24673.152,27489.143,1387.527,1189,21688,909,311,0,47043,6610,11937.153,868.144,12805
31/03/2022 14:00,25107.935,25107.935,27779.418,1433.172,1176,21845,909,599,0,47043,6610,11759.408,896.211,12655
31/03/2022 15:00,25593.818,25593.818,28279.003,1458.346,1185,21783,909,1133,0,47043,6610,11629.198,961.011,12590
31/03/2022 16:00,26571.66,26571.66,28711.054,1552.947,1149,21874,909,1546,0,47043,6610,11504.48,1058.211,12562
31/03/2022 17:00,26932.732,26932.732,28554.183,1445.647,1049,22017,909,1693,0,47043,6610,11443.115,1048.211,12491
31/03/2022 18:00,27914.65,28331.15,29716.173,1574.282,1122,22000,909,2347,0,47043,6610,11503.557,1000.911,12504
31/03/2022 19:00,27431.288,27847.788,29175.513,1560.541,1135,22009,909,1835,0,47043,6560.917,11573.112,946.511,12519
31/03/2022 20:00,26159.993,26159.993,27388.239,1466.388,1114,22106.83,909,635,0,47043,6515,11725.07,880.211,12605
31/03/2022 21:00,24470.247,24470.247,25629.032,1390.126,1106,22082,909,106,0,47043,6515,11500.278,880.211,12380
31/03/2022 22:00,22926.935,22926.935,24098.733,1386.911,1072,22279,909,0,0,47043,5988.5,11890.561,840.078,12730
31/03/2022 23:00,21968.068,21968.068,23110.822,1484.831,1068,21824,909,0,0,47043,5930,12008.36,705.063,12713
01/04/2022 00:00,21105.801,21105.801,22240.789,1408.507,1068,20877,910,0,0,46797,6278,12114.285,526.75,12641
01/04/2022 01:00,20936.935,20936.935,22043.88,1404.937,1121,20709,910,0,0,46797,6650,12540.067,500.05,13040
01/04/2022 02:00,20892.068,20892.068,21880.597,1393.113,1295,20498,910,0,0,46797,6650,12216.002,454.367,12670
01/04/2022 03:00,20964.935,20964.935,21993.023,1363.37,1337,20529,910,0,0,46797,6650,12014.73,435.093,12449
